#app,#text to play,#options_text,#description
app/timeout.wav,Timed out,,
app/powercycleesc.wav,Please power cycle the speed controller,,
app/soverideen.wav,Servo overide - enabled,,
app/soveridedis.wav,Servo overide - disabled,,
app/eraseflash.wav,Erasing Data Flash,,
app/moverideen.wav,Mixer overide - enabled,,
app/moveridedis.wav,Mixer overide - disabled,,
events/alerts/lowvoltage.wav,Low Voltage,,
events/alerts/lowfuel.wav,Low Fuel,,
events/alerts/armed.wav,Armed,,
events/alerts/disarmed.wav,Disarmed,,
events/alerts/profile.wav,Profile,,
events/alerts/rates.wav,Rates,,
events/alerts/timerelapsed.wav,Timer Elapsed,,
events/gov/off.wav,Governor - Off,,
events/gov/idle.wav,Governor - Idle,,
events/gov/spoolup.wav,Governor - Spoolup,,
events/gov/recovery.wav,Governor - Recovery,,
events/gov/active.wav,Governor - Active,,
events/gov/thr-off.wav,Governor - Throttle Off,,
events/gov/lost-hs.wav,Governor - Lost Headspeed,,
events/gov/autorot.wav,Governor - Auto Rotation,,
events/gov/bailout.wav,Governor - Bailout,,
events/gov/disabled.wav,Governor - Disabled,,
events/gov/disarmed.wav,Governor - Disarmed,,
events/gov/unknown.wav,Governor - Unknown,,
adjfunctions/pitch.wav,Pitch,,
adjfunctions/roll.wav,Roll,,
adjfunctions/yaw.wav,Yaw,,
adjfunctions/rc.wav,RC,,
adjfunctions/rate.wav,Rate,,
adjfunctions/p.wav,P,,
adjfunctions/i.wav,I,,
adjfunctions/d.wav,D,,
adjfunctions/f.wav,F,,
adjfunctions/o.wav,O,,
adjfunctions/gain.wav,Gain,,
adjfunctions/cw.wav,CW,,
adjfunctions/ccw.wav,CCW,,
adjfunctions/cyclic.wav,Cyclic,,
adjfunctions/ff.wav,Feed Forward,,
adjfunctions/collective.wav,Collective,,
adjfunctions/dyn.wav,Dynamic,,
adjfunctions/decay.wav,Decay,,
adjfunctions/gyro.wav,Gyro,,
adjfunctions/cutoff.wav,Cut Off,,
adjfunctions/dterm.wav,d term,,
adjfunctions/rescue.wav,Rescue,,
adjfunctions/climb.wav,Climb,,
adjfunctions/hover.wav,Hover,,
adjfunctions/alt.wav,Altitude,,
adjfunctions/angle.wav,Angle,,
adjfunctions/level.wav,Level,,
adjfunctions/horizon.wav,horizon,,
adjfunctions/acro.wav,Acro,,
adjfunctions/gov.wav,Governor,,
adjfunctions/crossc.wav,Cross Coupling,,
adjfunctions/acc.wav,Accelerometer,,
adjfunctions/trim.wav,Trim,,
adjfunctions/setpoint.wav,Setpoint,,
adjfunctions/precomp.wav,Precomp,,
adjfunctions/inertia.wav,Inertia,,
adjfunctions/boost.wav,Boost,,
adjfunctions/filter.wav,Filter,,
adjfunctions/deadband.wav,Deadband,,
status/alerts/current.wav,Current,,
status/alerts/esc.wav,Esc Temperature,,
status/alerts/mcu.wav,MCU Temperature,,
status/alerts/fuel.wav,Fuel,,
status/alerts/headspeed.wav,Head Speed,,
status/alerts/lowfuel.wav,Low Fuel,,
status/alerts/lowvoltage.wav,Low Voltage,,
status/alerts/lq.wav,Link Quality,,
status/alerts/remaining.wav,remaining,,
status/alerts/timer.wav,timer,,
status/alerts/voltage.wav,voltage,,
